"","date","State","lat","long","death_rate","c_PercentChange","d_PercentChange","measure","value"
"205",2020-03-11,"Alaska",61.3707,-152.4044,NA,NA,NA,"Confirmed Cases",0
"206",2020-03-11,"Idaho",44.2405,-114.4788,NA,NA,NA,"Confirmed Cases",0
"207",2020-03-11,"Maine",44.6939,-69.3819,NA,NA,NA,"Confirmed Cases",0
"208",2020-03-11,"Mississippi",32.7416,-89.6787,NA,NA,NA,"Confirmed Cases",0
"209",2020-03-11,"North Dakota",47.5289,-99.784,NA,NA,NA,"Confirmed Cases",0
"210",2020-03-11,"West Virginia",38.4912,-80.9545,NA,NA,NA,"Confirmed Cases",0
"211",2020-03-11,"Wyoming",42.756,-107.3025,NA,NA,NA,"Confirmed Cases",0
"212",2020-03-11,"Alaska",61.3707,-152.4044,NA,NA,NA,"Recovered",0
"213",2020-03-11,"Arkansas",34.9697,-92.3731,0,Inf,NA,"Recovered",0
"214",2020-03-11,"Colorado",39.0598,-105.3111,0,126.667,NA,"Recovered",0
"215",2020-03-11,"Connecticut",41.5978,-72.7554,0,50,NA,"Recovered",0
"216",2020-03-11,"Delaware",39.3185,-75.5071,0,Inf,NA,"Recovered",0
"217",2020-03-11,"District of Columbia",38.8974,-77.0268,0,100,NA,"Recovered",0
"218",2020-03-11,"Florida",27.7663,-81.6868,0.071,86.667,0,"Recovered",0
"219",2020-03-11,"Georgia",33.0406,-83.6431,0,35.294,NA,"Recovered",0
"220",2020-03-11,"Hawaii",21.0943,-157.4983,0,0,NA,"Recovered",0
"221",2020-03-11,"Idaho",44.2405,-114.4788,NA,NA,NA,"Recovered",0
"222",2020-03-11,"Indiana",39.8494,-86.2583,0,83.333,NA,"Recovered",0
"223",2020-03-11,"Iowa",42.0115,-93.2105,0,62.5,NA,"Recovered",0
"224",2020-03-11,"Kansas",38.5266,-96.7265,0,0,NA,"Recovered",0
"225",2020-03-11,"Kentucky",37.6681,-84.6701,0,33.333,NA,"Recovered",0
"226",2020-03-11,"Louisiana",31.1695,-91.8678,0,500,NA,"Recovered",0
"227",2020-03-11,"Maine",44.6939,-69.3819,NA,NA,NA,"Recovered",0
"228",2020-03-11,"Maryland",39.0639,-76.8021,0,12.5,NA,"Recovered",0
"229",2020-03-11,"Michigan",43.3266,-84.5361,0,Inf,NA,"Recovered",0
"230",2020-03-11,"Minnesota",45.6945,-93.9002,0,66.667,NA,"Recovered",0
"231",2020-03-11,"Mississippi",32.7416,-89.6787,NA,NA,NA,"Recovered",0
"232",2020-03-11,"Missouri",38.4561,-92.2884,0,0,NA,"Recovered",0
"233",2020-03-11,"Montana",46.9219,-110.4544,0,Inf,NA,"Recovered",0
"234",2020-03-11,"Nebraska",41.1254,-98.2681,0,66.667,NA,"Recovered",0
"235",2020-03-11,"Nevada",38.3135,-117.0554,0,75,NA,"Recovered",0
"236",2020-03-11,"New Hampshire",43.4525,-71.5639,0,25,NA,"Recovered",0
"237",2020-03-11,"New Jersey",40.2989,-74.521,0.043,53.333,0,"Recovered",0
"238",2020-03-11,"New Mexico",34.8405,-106.2485,0,Inf,NA,"Recovered",0
"239",2020-03-11,"New York",42.1657,-74.9481,0,27.168,NA,"Recovered",0
"240",2020-03-11,"North Carolina",35.6301,-79.8064,0,0,NA,"Recovered",0
"241",2020-03-11,"North Dakota",47.5289,-99.784,NA,NA,NA,"Recovered",0
"242",2020-03-11,"Ohio",40.3888,-82.7649,0,33.333,NA,"Recovered",0
